,City,Person,Number of Views,Description,link,latitude,longitude
43,Bellary,Jayanthi (actress),857122,"Kamala Kumari (born 6 January 1945), known by her mononymous stage name Jayanthi, is an Indian actress known for her work in Kannada cinema. She is noted for her contributions to different genres of films from the 1960s, 1970s and early 1980s. She has appeared in over 500 films, including films in the Kannada, Telugu, Tamil, Malayalam, Hindi and Marathi languages. She has received seven Karnataka State Film Awards, four times as  Best Actress and twice as  Best Supporting Actress the President's Medal for Best Actress and two Filmfare Awards for Best Actress. She has been cited as Kannada cinema's ""most bold and beautiful"" actress by various media outlets, a title for which she has received substantial publicity. The Kannada film industry has honored her with the title ""Abhinaya Sharadhe"", (Goddess Sharada in acting).",https://en.wikipedia.org/wiki/Jayanthi_(actress),15.1467299,76.9125211
44,Benaulim,Joseph Vaz,202947,"St. Joseph Vaz, CO, (Konkani: Sant Zuze Vaz; Portuguese: São José Vaz; Tamil: புனித யோசப் வாஸ் Punidha Yosap Vaz; Sinhala: ශාන්ත ජුසේ වාස් මුනිතුමා, ශ්‍රී ලංකාවේ අපොස්තුළුවරයා Santha Juse Vaz Munithuma, Sri Lankawe Aposthuluvaraya), (21 April 1651 – 16 January 1711) was an Oratorian priest and missionary in Sri Lanka, then known as Ceylon.
Vaz arrived in Ceylon during the Dutch occupation, when the Dutch were imposing Calvinism as the official religion after taking over from the Portuguese. He travelled throughout the island bringing the Eucharist and the sacraments to clandestine groups of Catholics. Later in his mission, he found shelter in the Kingdom of Kandy where he was able to work freely. By the time of his death, Vaz had managed to rebuild the Catholic Church on the island.
As a result of his labors, Vaz is known as the Apostle of Ceylon. On 21 January 1995, he was beatified by Pope John Paul II in Colombo. He was canonized on 14 January 2015 by Pope Francis in an open-air Mass ceremony at the Galle Face Green in Colombo.",https://en.wikipedia.org/wiki/Joseph_Vaz,15.2601367,73.9275675
45,Bhagalpur,Ashok Kumar,2166791,"Kumudlal Ganguly (13 October 1911 – 10 December 2001), better known by his stage name Ashok Kumar and also fondly called Dadamoni, was an Indian film actor who attained iconic status in Indian cinema and who was a member of the cinematic Ganguly family. He was honoured in 1988 with the Dadasaheb Phalke Award, the highest national award for cinema artists, by the Government of India and also received the Padma Bhushan in 1999 for his contributions to Indian cinema. He is considered to be one of India's finest actors ever, playing leading, antagonist and character roles with equal panache.",https://en.wikipedia.org/wiki/Ashok_Kumar,25.28669805,87.13225355111148
46,Bhatpara,Anil Kumar Bhattacharya,23843,"Anil Kumar Bhattacharya (also spelled Anil Kumar Bhattacharyya, Bengali: অনিল কুমার ভট্টাচার্য) (1 April 1915 – 17 July 1996) was an Indian statistician who worked at the Indian Statistical Institute in the 1930s and early 40s.  He made fundamental contributions to multivariate statistics, particularly for his measure of similarity between two multinomial distributions, known as the Bhattacharya coefficient, based on which he defined a metric, the Bhattacharya distance.  This measure is widely used in comparing statistical samples in biology, physics, computer science, etc.
Distance between statistical distributions had been addressed in 1936 by Mahalanobis, who proposed the D2 metric, now known as Mahalanobis distance.  Subsequently, Bhattacharya defined a cosine metric for distance between distributions, in a Calcutta Mathematical Society paper in 1943, expanding on some of the results in another paper in Sankhya in 1947. Bhattacharyya's two major research concerns were the measurement of divergence between two probability distributions and the setting of lower bounds to the variance of an unbiased estimator.",https://en.wikipedia.org/wiki/Anil_Kumar_Bhattacharya,21.7353478,81.9444592
47,Bhavnagar,Apara Mehta,348971,Apara Mehta (born 13 August 1960) is an Indian television  and Bollywood actress known for her supporting roles like Savita Mansukh Virani in the iconic show Kyunki Saas Bhi Kabhi Bahu Thi.,https://en.wikipedia.org/wiki/Apara_Mehta,21.7718836,72.1416449
48,Bhawanipatna,Biswajit Mohapatra,22953,"Biswajit Mahapatra is an Indian singer from Bhawanipatna, Odisha. He was a participant in Indian Idol Season 10. He has mostly worked as playback singer in Odia film Industry named 'Ollywood'.",https://en.wikipedia.org/wiki/Biswajit_Mohapatra,19.9104952,83.1678321
49,Bhilai,Sandit Tiwari,35817,"Sandit Tiwari is an Indian television actor. He  played the role of Sahib in Me Aajji Aur Sahib and Sagar in Mahisagar.Tiwari was born in Bhilai. He is an electrical engineer and has done Master of Business Administration from University Business School – Chandigarh.
Tiwari started his career the television show Beend Banoongaa Ghodi Chadhunga in 2011. After that he played the lead role in Me Aajji Aur Sahib and a cameo in Anamika   He also played an episodic roles in Crime Patrol  and Fear Files: Darr Ki Sacchi Tasvirein.",https://en.wikipedia.org/wiki/Sandit_Tiwari,21.2120677,81.3732849
50,Bhilwara,C. P. Joshi,148411,"Dr. C. P. Joshi (born 29 July 1950) is an Indian politician. He is a current Speaker of the Rajasthan Legislative Assembly. He was the Member of Parliament of India from Bhilwara in the 15th Lok Sabha.
He contested the 2014 Lok Sabha elections from Jaipur (Rural) seat. He was one of the first 19 members of India's new cabinet sworn in on 22 May 2009, despite being a first-time member of the Lok Sabha. He is the former minister of Road Transport and Highways and Railway. He is a member of the Indian National Congress. He was also Education,  Public Health Engineering Department and Panchayati raj Minister in Government of Rajasthan led by Ashok Gehlot (1998-2003).",https://en.wikipedia.org/wiki/C._P._Joshi,25.48877345,74.69961283584024
51,Bhiwandi,Kapil Patil,53073,"Kapil Patil (b March 5, 1961) is politician from Bhiwandi, Thane, in Maharashtra state of India. He was Chairman of Thane District Co-operative Bank. He also worked as President of Thane Zilla Parishad. He moved from Nationalist Congress Party to Bharatiya Janata Party in March 2014.He contested 2014 Lok Sabha elections from Bhiwandi (Lok Sabha constituency) as BJP /NDA candidate.He is completed his graduation in B.A. in year 1984-85 from Mumbai University.",https://en.wikipedia.org/wiki/Kapil_Patil,19.362530800000002,73.07847467842203
52,Bhopal,Najma Heptulla,546655,"Najma Akbar Ali Heptulla (born 13 April 1940) is an Indian politician and Governor of Manipur and the Chancellor of Jamia Millia Islamia, and former vice-president of the Bharatiya Janata Party (BJP), and a six time member of the Rajya Sabha, the upper house of the Indian parliament, between 1980 and 2016, and Deputy Chairman of the Rajya Sabha for sixteen years. She was a member representing Rajasthan from July 2004 to July 2010. She was nominated by the BJP for the Rajya Sabha in 2012 from Madhya Pradesh, and assumed her office on 24 April 2012.She is a second cousin to actor Aamir Khan and grand niece of Maulana Abul Kalam Azad. She contested the 13th vice-presidential election held in August 2007 but lost to Hamid Ansari by 233 votes. She took oath as a cabinet minister in the Narendra Modi headed government on 26 May 2014 and was replaced by Mukhtar Abbas Naqvi in July 2016.",https://en.wikipedia.org/wiki/Najma_Heptulla,23.2584857,77.401989
53,Bhubaneswar,Shaktikanta Das,1766398,"Shaktikanta Das (born 26 February 1957) is a retired 1980 batch Indian Administrative Service (IAS) officer of Tamil Nadu cadre. Currently serving as the 25th governor of the Reserve Bank of India (RBI), he was earlier a member of the Fifteenth Finance Commission and India's Sherpa to the G20.
During his career as an IAS officer, Das served in various capacities for Indian and Tamil Nadu governments, including as Economic Affairs Secretary, Revenue Secretary, Fertilizers Secretary.",https://en.wikipedia.org/wiki/Shaktikanta_Das,20.2667774,85.8435592
54,Bhuj,Salim–Sulaiman,820637,"Salim–Sulaiman is an Indian score composer duo consisting of siblings Salim and Sulaiman Merchant. The duo compose music predominantly for Hindi films.

",https://en.wikipedia.org/wiki/Salim%E2%80%93Sulaiman,23.2472446,69.668339
55,Bihar Sharif,Vikas Kumar,198434,"Vikas Kumar is an Indian actor and dialogue coach. He is known mainly for his performance of an honest yet adamant cop in YRF TV's Khotey Sikkey, and for his work as dialogue coach in Hindi films like Ishqiya, Zindagi Na Milegi Dobara and Udaan.And as a sineor cop of show cid. After a 3-month workshop with theatre guru Barry John, Vikas participated in theatrical productions directed by John and later by Aamir Raza Husain and Virat Husain. Since then, Vikas has worked as an actor and as a dialogue coach.

",https://en.wikipedia.org/wiki/Vikas_Kumar,25.193859,85.5208617
56,"Bijapur, Karnataka",Bhāskara II,972287,"Bhāskara (1114–1185) also known as Bhāskarācārya (""Bhāskara, the teacher""), and as Bhāskara II to avoid confusion with Bhāskara I, was an Indian mathematician and astronomer. He was born in Bijapur in Karnataka.Bhāskara and his works represent a significant contribution to mathematical and astronomical knowledge in the 12th century. He has been called the greatest mathematician of medieval India. His main work Siddhānta-Śiromani, (Sanskrit for ""Crown of Treatises"") is divided into four parts called Līlāvatī, Bījagaṇita, Grahagaṇita and Golādhyāya, which are also sometimes considered four independent works. These four sections deal with arithmetic, algebra, mathematics of the planets, and spheres respectively. He also wrote another treatise named Karaṇā Kautūhala.Bhāskara's work on calculus predates Newton and Leibniz by over half a millennium. He is particularly known in the discovery of the principles of differential calculus and its application to astronomical problems and computations. While Newton and Leibniz have been credited with differential and integral calculus, there is strong evidence to suggest that Bhāskara was a pioneer in some of the principles of differential calculus. He was perhaps the first to conceive the differential coefficient and differential calculus.On 20 November 1981 the Indian Space Research Organisation (ISRO)  launched the Bhaskara II satellite honouring the mathematician and astronomer.",https://en.wikipedia.org/wiki/Bh%C4%81skara_II,16.8269911,75.7175387
57,Bijbehara,Mehbooba Mufti,1413886,"Mehbooba Mufti (born 22 May 1959) is an Indian politician of the Jammu and Kashmir Peoples Democratic Party (PDP), who served last   Chief Minister of Jammu and Kashmir from 4 April 2016 to 19 June 2018. Mehbooba Mufti is currently lodged by Govt. of UT of J&K under PSA (Public Safety Act). She formed a coalition government with the Bharatiya Janata Party (BJP) and resigned on 19 June 2018 after the BJP withdrew from the coalition. Since 5 August 2019 she has been under detention.Mufti was the first and the last woman to hold the office of Chief Minister in the state. She is the president of the PDP and was a member of the Indian parliament, representing Anantnag in the 16th Lok Sabha; before she was sworn in as the Chief Minister of J&K. She had previously represented Anantnag in the 14th Lok Sabha (2004–09) but did not contest the 2009 election for the 15th Lok Sabha.",https://en.wikipedia.org/wiki/Mehbooba_Mufti,33.79612495,75.1039062646373
58,Bikaner,Charu Asopa,568665,Charu Asopa Sen  an Indian television actress who is known for her role of Preeti in the Star Plus series Mere Angne Mein and Piyali in the Star Bharat show Jiji Maa.,https://en.wikipedia.org/wiki/Charu_Asopa,28.0159286,73.3171367
59,"Bilaspur, Chhattisgarh",Satyajeet Dubey,244025,"Satyajeet Dubey (born 21 July 1990) is an Indian voice and film actor, working in the Hindi film industry. He started his career with Roshan Abbas' Always Kabhi Kabhi.",https://en.wikipedia.org/wiki/Satyajeet_Dubey,22.383333,82.133333
60,Bokaro,Sambit Patra,1938271,"Sambit Patra (born 13 December 1974) is an Indian surgeon. He is one of the official spokespersons of the Bharatiya Janata Party (BJP). Patra is a former Medical officer at Hindu Rao Hospital. He was one of the non-official directors on the board of Oil and Natural Gas Corporation Limited (ONGC) since 28 October 2017.

",https://en.wikipedia.org/wiki/Sambit_Patra,23.699127949999998,85.99106894165021
61,Brahmapur,Sulagna Panigrahi,677842,"Sulagna Panigrahi (born 3 February 1989) is an Odia and Indian television and film actress. As a débutante, she played the lead role in the television serial Amber Dhara as Dhara, and went on to play the principal character in Do Saheliyaan. She further did a grey role as Sakshi Rajvansh in Bidaai, until getting her big break in the Bhatt banner film Murder 2 as Reshma.",https://en.wikipedia.org/wiki/Sulagna_Panigrahi,19.3098134,84.7971562
62,Chalakudy,Kalabhavan Mani,1876725,"Kunnisseri Veettil Raman Mani (1 January 1971 – 6 March 2016), better known by his stage name Kalabhavan Mani, was an Indian film actor and singer. Mani started his career as a mimicry artist with the Kalabhavan troupe.  He has starred in over 200 films, including Malayalam, Tamil, Kannada and Telugu films, and is renowned for his humorous characters and villain roles.
Mani won the National Film Award – Special Jury Award and Kerala State Film Award for his performance as Ramu in Vasanthiyum Lakshmiyum Pinne Njaanum (1999).",https://en.wikipedia.org/wiki/Kalabhavan_Mani,10.302391,76.3215544
63,"Chamba, Himachal Pradesh",Asha Kumari (politician),29506,"Asha Kumari  is a leader of Indian National Congress and an All India Congress Committee secretary and AICC in charge of Punjab.
She is a member of the Himachal Pradesh Legislative Assembly from Dalhousie.She was education minister of the state from 2003 to 2005.",https://en.wikipedia.org/wiki/Asha_Kumari_(politician),32.5,76.5
64,Chandigarh,Mukesh Gautam,448994,Mukesh Gautam is an Indian film director and works predominantly in Punjabi-language films. He is known for his  movies Ek Noor (2011) and Akhiyaan Udeekdian (2009).  He is also the father of Bollywood actress Yami Gautam and Surilie Gautam. He is currently the vice president of the PTC Punjabi network which he acquired in 2008.,https://en.wikipedia.org/wiki/Mukesh_Gautam,30.7194022,76.7646552
65,Chandrapur,Mohan Bhagwat,1187254,Mohan Madhukar Bhagwat (born 11 September 1950) is the Sarsanghchalak (Chief) of the Hindu nationalist organisation Rashtriya Swayamsevak Sangh (RSS) based in India. He was chosen as the successor to K. S. Sudarshan in March 2009.,https://en.wikipedia.org/wiki/Mohan_Bhagwat,26.21231825,91.89620684881584
66,Changanassery,Parvathy Omanakuttan,584043,"Parvathy Omanakuttan (born 13 March 1987) is an Indian actress, model and beauty pageant titleholder who was crowned Miss India 2008 and later became first runner-up at Miss World 2008. She was also awarded the titles of Miss World Asia & Oceania at the Miss World 2008 competition.",https://en.wikipedia.org/wiki/Parvathy_Omanakuttan,9.4897969,76.62396673836119
67,Chennai,List of people from Chennai,143732,"The following people were born or based their life in Tamil Nadu, formerly known as Madras State:",https://en.wikipedia.org/wiki/List_of_people_from_Chennai,13.0801721,80.2838331
68,Chhatarpur,Babu Gulabrai,49794,Babu Gulabrai (17 January 1888 – 13 April 1963) was a significant figure in modern Hindi literature.,https://en.wikipedia.org/wiki/Babu_Gulabrai,24.75,79.75
69,Coimbatore,RJ Balaji,851257,"Balaji Patturaj (born 20 June), popularly known as RJ Balaji, is an Indian radio jockey, presenter, comedian, director, cricket commentator and actor based in Chennai, Tamil Nadu. He is best known as the host of the BIG FM 92.7 shows The Night Show with RJ Balaji, Take it Easy and its now defunct segment Cross Talk, where he made prank calls to unsuspecting victims.
Although mainly a radio jockey, Balaji is also active in other fields; he is known for his association with the television shows Ungalil Yaar Adutha Prabhu Dheva and Why This Kolaveri, and for his performance in the films Theeya Velai Seiyyanum Kumaru (2013), Vadacurry (2014) Naanum Rowdy Dhaan (2015) , Pugazh (2016) and LKG (2019). He has also been a presenter at many inter-school cultural events in Chennai, a cricket commentator, and has contributed to many social causes, such as providing relief support to the victims of the 2015 South Indian floods along with other actors.",https://en.wikipedia.org/wiki/RJ_Balaji,11.0018115,76.9628425
70,Cooch Behar,Mouni Roy,5486328,"Mouni Roy (born 28 September 1985) is an Indian actress, singer, Kathak dancer and former model, who began her career with television in 2006 with Kyunki Saas Bhi Kabhi Bahu Thi. She is known for Naagin and Gold.
In 2014, Roy was a finalist on the reality show Jhalak Dikhhla Jaa. She rose to fame by her portrayal of Sati and Shivanya/Shivangi in Devon Ke Dev...Mahadev and Naagin respectively. In 2018, she entered films with Reema Kagti's sports film Gold opposite Akshay Kumar, getting nominated for the Filmfare Best Female Debut Award, and made her singing debut with the remake single ""Bheegi Bheegi Raaton Mein"".",https://en.wikipedia.org/wiki/Mouni_Roy,26.3223696,89.4592445
71,Cuttack,Himanshu Rai,164815,"Himanshu Rai (1892 – 16 May 1940), one of the pioneers of Indian cinema, is best known as the founder of the  studio in 1934, along with Devika Rani. He was associated with a number of movies, including Goddess (1922), The Light of Asia (1925), Shiraz (1928), A Throw of Dice (1929) and Karma (1933). He was married to actress Devika Rani Chaudhuri (1908-1994).",https://en.wikipedia.org/wiki/Himanshu_Rai,20.4686,85.8792
72,Dapoli,Dhondo Keshav Karve,487385,"Dhondo Keshav Karve (18 April 1858 – 9 November 1962), popularly known as Maharshi Karve, was a social reformer in India in the field of women's welfare. In his honour, Queen's Road in Mumbai (Bombay) was renamed to Maharshi Karve Road. Karve was a pioneer in promoting widows' education. The Government of India awarded him with the highest civilian award, the Bharat Ratna, in 1958, the year of his 100th birthday.
The appellation Maharshi, which the Indian public often assigned to Karve, means ""a great sage"". He was also sometimes affectionately called ""Annā Karve""; in the Marathi-speaking community to which Karve belonged, the appellation ""Annā"" is often used to address either one's father or an elder brother. He was the first living Indian to appear on a postal stamp of India.

",https://en.wikipedia.org/wiki/Dhondo_Keshav_Karve,17.756983650000002,73.21424258799495
73,Darbhanga,Sriti Jha,2221727,"Sriti Jha (born 26 February 1986) is an Indian television actress who appears in Indian soap operas. She rose to prominence with her roles in the shows Jiya Jale, Jyoti, Dil Se Di Dua... Saubhagyavati Bhava?, Balika Vadhu and Kumkum Bhagya. She won the Indian Telly Award for Best Actress in a Lead Role and ITA Award for Best Actress in Drama series for her portrayal as Pragya Mehra in Ekta Kapoor's drama series Kumkum Bhagya.",https://en.wikipedia.org/wiki/Sriti_Jha,26.08314325,86.03257096612822
74,Darjeeling,Erick Avari,577674,"Erick Avari (born 13 April 1952) is an Indian–American actor known primarily for his roles in science-fiction productions, including  Stargate (1994), Independence Day (1996) and The Mummy (1999).",https://en.wikipedia.org/wiki/Erick_Avari,26.8349002,88.30714958252707
75,Datia,The Great Gama,1198864,"Ghulam Mohammad Baksh Butt (22 May 1878 – 23 May 1960), commonly known as Rustam-e-Hind (Hindi-Urdu for Champion of India) and by the ring name The Great Gama, was an Indian wrestler who remained the undefeated champion of the world.Born in Amritsar in the Punjab Province of the colonial India in 1878, he was awarded the Indian version of the World Heavyweight Championship on 15 October 1910, and went on to defeat free style wrestling champions across the world. Undefeated in a career spanning more than 52 years, he is considered one of the greatest wrestlers of all time. During the partition of India, the Great Gama saved the lives of many Hindus and then spent the rest of his days until his death on May 23, 1960 in Lahore, which became a part of the newly created state of Pakistan.",https://en.wikipedia.org/wiki/The_Great_Gama,25.75,78.5
76,Davanagere,Vinay Kumar,237142,"Ranganath Vinay Kumar (born 12 February 1984) is a cricketer who has represented India at Test, One Day International (ODI) and Twenty20 levels. He is a right-arm medium fast bowler who played domestic cricket for Karnataka and also in the Indian Premier League for Kolkata Knight Riders. He captained Karnataka to two consecutive Ranji Trophy titles in 2013–14 and 2014–15 seasons. In November 2018, he played in his 100th match in the Ranji Trophy. In August 2019, he moved from Karnataka to Puducherry, ahead of the 2019–20 Ranji Trophy season. During the first round of matches in the tournament, he took his 400th wicket in the Ranji Trophy.",https://en.wikipedia.org/wiki/Vinay_Kumar,14.4661266,75.9206361
77,Dehradun,Lal Singh,87719,"Raja Lal Singh (died 1866) was Wazir of the Sikh Empire and commander of Sikh Khalsa Army forces during the First Anglo-Sikh War. Along with Tej Singh, Lal Singh betrayed the Sikhs during the course of the war. Lal Singh was regularly supplying information and even receiving instructions from British officers, communicating through Captain Peter Nicholson.",https://en.wikipedia.org/wiki/Lal_Singh,30.3255646,78.0436813
78,Delhi,Richa Chadda,2950337,"Richa Chadda  is an Indian Bollywood actress who works in Hindi films Best know in Fukrey Series . After Debuting in a small role in the comedy film Oye Lucky! Lucky Oye! (2008), she worked as a supporting actress in several films. Her major breakthrough was a supporting role in the film noir gangster saga Gangs of Wasseypur (2012), where her role as the bellicose and extremely foul-tongued wife of a gangster earned her a Filmfare award.  Her sole foray into mainstream cinema has been as a supporting character in Goliyon Ki Rasleela Ram-Leela (2013).
In 2015, Chadda made her debut in a leading role with the drama Masaan, playing a girl caught after indulging in casual sex. The film got a standing ovation when screened at the Cannes film festival. The film has been cited as a milestone in Chadda's career and through it she is said to have created a niche for herself in the Hindi film industry. Chadda has also worked in theatre, essaying the role of a married Delhi-based woman in Trivial Disasters (2014).
In May 2016, Chadda revealed in an interview to NDTV that she had suffered from bulimia (an eating disorder) for several years, and that she had recovered after seeking professional help from a clinical psychiatrist. Attributing her eating disorder to patriarchy, misogyny and the prevalence of the 'male gaze' in the field of entertainment, she exhorted other women to go public with their own (patriarchy-induced) eating and mental disorders and called for the destruction of 'ways of thinking' which oppressed women. Also in May 2016, Richa was seen in the biopic Sarbjit, where she essayed the role of Sukhpreet Kaur, Sarbjit's wife. While the film didn't do so well at the box office and received mixed reviews from critics, Richa was singled out for her performance and garnered her second Filmfare nomination for Best Supporting Actress. She continued to receive universal success with her portrayal of Bholi Punjaban in 2017 comedy Fukrey Returns, which proved to be a major critical and commercial success.",https://en.wikipedia.org/wiki/Richa_Chadda,28.6517178,77.2219388
79,Dergaon,Jatin Goswami,32364,"Jatin Goswami is an Indian dancer and choreographer, known as one of the prominent exponents of the classical dance form of Sattriya. He is the founder director of Sattriya Akademi, Guwahati, a sitting member of its Advisory Committee, and a former member of the General Council of the Sangeet Natak Akademi. He is also the founder of Alok Shilpi Sangha, a dance academy and Pragjyoti Kala Parishad, a cultural organization, and is a recipient of the 2004 Sangeet Natak Akademi Award. The Government of India awarded him the fourth highest civilian honour of the Padma Shri, in 2008, for his contributions to Sattriya dance.",https://en.wikipedia.org/wiki/Jatin_Goswami,26.6912061,93.94939266209639
80,Dewas,E. M. Forster,1646691,"Edward Morgan Forster  (1 January 1879 – 7 June 1970) was an English novelist, short story writer, essayist and librettist. Many of his novels examine class difference and hypocrisy, including A Room with a View (1908), Howards End (1910) and A Passage to India (1924). The last brought him his greatest success. He was nominated for the Nobel Prize in Literature in 16 different years.",https://en.wikipedia.org/wiki/E._M._Forster,23.0,76.166667
81,Dhanbad,Meiyang Chang,630902,"Meiyang Chang (born 6 October 1982) is an Indian actor, television host and singer of Chinese descent.",https://en.wikipedia.org/wiki/Meiyang_Chang,23.7952809,86.4309638
82,Dhar,Baji Rao II,995727,"Baji Rao II (10 January 1775 – 28 January 1851) was the 12th and the last Peshwa of the Maratha Empire. He governed from 1795 to 1818. He was installed as a puppet ruler by the Maratha nobles, whose growing power prompted him to flee his capital Poona and sign the Treaty of Bassein (1802) with the British. This resulted in the Second Anglo-Maratha War (1803–1805), in which the British emerged victorious and re-installed him as the titular Peshwa. In 1817, Baji Rao II joined the Third Anglo-Maratha War against the British, after they favoured the Gaekwad nobles in a revenue-sharing dispute. After suffering several battle defeats, the Peshwa surrendered to the British, and agreed to retire in return for an estate at Bithoor and an annual pension.",https://en.wikipedia.org/wiki/Baji_Rao_II,22.5,75.25
83,Dharamshala,Namrata Singh Gujral,170865,"Namrata Singh Gujral (born February 26, 1976) is an American director, producer and actor.",https://en.wikipedia.org/wiki/Namrata_Singh_Gujral,32.2143039,76.3196717
84,Dharwad,Shashi Deshpande,260096,Shashi Deshpande (born 1938) is an Indian novelist. She is a recipient of the Sahitya Akademi Award.,https://en.wikipedia.org/wiki/Shashi_Deshpande,15.4540505,75.0066516
85,Dhule,Subhash Bhamre,122669,"Dr Subhash Ramrao Bhamre  (born 11 September 1953) is an Indian politician and reelected in 17th Lok Sabha. He was a member of the 16th Lok Sabha. He represents the Dhule constituency of Maharashtra and is a member of the Bharatiya Janata Party (BJP) political party.An oncologist by profession, Bhamre did his medical studies in Mumbai at Grant Medical College, JJ Hospital and Tata Cancer Hospital, and wrote a research paper on breast cancer for the International Cancer Conference in Hungary.",https://en.wikipedia.org/wiki/Subhash_Bhamre,21.13050145,74.47891180551228
86,Dungarpur,Nagendra Singh,152782,"Maharaj Sri Nagendra Singh (18 March 1914 – 11 December 1988) was an Indian lawyer and administrator who served as President of the International Court of Justice from 1985 to 1988. He was one of the four judges from India to have been on the International Court of Justice in The Hague, the others being B. N. Rau (1952–1953), R. S. Pathak (1989–1991) the 18th Chief Justice of India, and Dalveer Bhandari (2012–), former Justice of the Supreme Court of India.

",https://en.wikipedia.org/wiki/Nagendra_Singh,23.666667,73.75
87,Durg,Bhupesh Baghel,359037,"Bhupesh Baghel (born 23 August 1961) is an Indian politician serving as the third and current Chief Minister of Chhattisgarh. He was president of Chhattisgarh Pradesh Congress. He has been member of legislative assembly multiple times from Patan. He had been cabinet minister in undivided Madhya Pradesh in Digvijaya Singh government in late nineties. He was first Minister for Revenue, Public Health Engineering and Relief Work of Chhattisgarh.",https://en.wikipedia.org/wiki/Bhupesh_Baghel,21.19903535,81.3979545573657
88,"Durgapur, West Bengal",Mika Singh,1537408,"Mika Singh is an Indian playback singer and live performer. Amongst a wide catalogue of songs, the prominent ones are ""Bas Ek King"" (Singh Is Kinng), ""Mauja Hi Mauja"" (Jab We Met), ""Ibn-e-Batuta"" (Ishqiya), and ""Dhanno"" (Housefull).
Mika began his career at an early age and has released several solo albums. He also acted on various reality shows, becoming a modest star in the country. Mika Singh is younger brother of Punjabi singer Daler Mehndi. His song Sawan Main Lag Gayi Aag was remixed by U.S based singer Pinky Paras.

",https://en.wikipedia.org/wiki/Mika_Singh,23.5350475,87.3380425
89,Etawah,Allan Octavian Hume,525264,"Allan Octavian Hume, CB ICS (4 June 1829 – 31 July 1912) was a British member of the Imperial Civil Service (later the Indian Civil Service), a political reformer, ornithologist and botanist who worked in British India. He was one of the founders of the Indian National Congress. A notable ornithologist, Hume has been called ""the Father of Indian Ornithology"" and, by those who found him dogmatic, ""the Pope of Indian ornithology"".As an administrator of Etawah, he saw the Indian Rebellion of 1857 as a result of misgovernance and made great efforts to improve the lives of the common people. The district of Etawah was among the first to be returned to normality and over the next few years Hume's reforms led to the district being considered a model of development. Hume rose in the ranks of the Indian Civil Service but like his father Joseph Hume, the radical MP, he was bold and outspoken in questioning British policies in India. He rose in 1871 to the position of secretary to the Department of Revenue, Agriculture, and Commerce under Lord Mayo. His criticism of Lord Lytton however led to his removal from the Secretariat in 1879.
He founded the journal Stray Feathers in which he and his subscribers recorded notes on birds from across India. He built up a vast collection of bird specimens at his home in Shimla by making collection expeditions and obtaining specimens through his network of correspondents.
Following the loss of manuscripts that he had long been maintaining in the hope of producing a magnum opus on the birds of India, he abandoned ornithology and gifted his collection to the Natural History Museum in London, where it continues to be the single largest collection of Indian bird skins. He was briefly a follower of the theosophical movement founded by Madame Blavatsky. He left India in 1894 to live in London from where he continued to take an interest in the Indian National Congress, apart from taking an interest in botany and founding the South London Botanical Institute towards the end of his life.",https://en.wikipedia.org/wiki/Allan_Octavian_Hume,26.718324350000003,79.09025375025163
90,Faridabad,Himani Kapoor,123224,"Himani Kapoor (Hindi : हिमानी कपूर) is an Indian singer and finalist of Sa Re Ga Ma Pa Challenge 2005. She also hosted a show with Karan Oberoi on Zee TV called ""Antakshari"". She also competed in Star Plus's Jo Jeeta Wohi Superstar.",https://en.wikipedia.org/wiki/Himani_Kapoor,28.402837,77.3085626
